instance,conflict_threshold,action,status,time_to_best,time,obj_bound,obj_value
beasley\scpcyc06-3.txt,1,SCP-CS_QO,OPTIMAL,9.140739440917969,9.500116348266602,126.0,126.0
beasley\scpcyc07-3.txt,1,SCP-CS_QO,TIME_LIMIT,128.43911743164062,3601.3893394470215,319.0,335.0
beasley\scpcyc08-3.txt,1,SCP-CS_QO,TIME_LIMIT,1804.5092391967773,3601.548120498657,612.0,947.0
beasley\scpcyc09-3.txt,1,SCP-CS_QO,TIME_LIMIT,3449.309301376343,3661.294376373291,1345.0,2654.0
beasley\scpcyc10-3.txt,1,SCP-CS_QO,TIME_LIMIT,3497.213159561157,3600.3861961364746,2644.0,6420.0
beasley\scpcyc11-3.txt,1,SCP-CS_QO,TIME_LIMIT,3324.4301776885986,3600.118885040283,5237.0,23938.0
beasley\scpd1-3.txt,1,SCP-CS_QO,TIME_LIMIT,21.09381866455078,3600.2471141815186,386.0,6412.0
beasley\scpd2-3.txt,1,SCP-CS_QO,TIME_LIMIT,3385.7272243499756,3600.3214378356934,370.0,6192.0
beasley\scpd3-3.txt,1,SCP-CS_QO,TIME_LIMIT,301.4225559234619,3600.195302963257,386.0,6324.0
beasley\scpd4-3.txt,1,SCP-CS_QO,TIME_LIMIT,975.5802478790283,3600.210645675659,368.0,9939.0
beasley\scpd5-3.txt,1,SCP-CS_QO,TIME_LIMIT,316.3756809234619,3600.1950302124023,406.0,6588.0
beasley\scpe1-3.txt,1,SCP-CS_QO,OPTIMAL,5.2968597412109375,5.468719482421875,26.0,26.0
beasley\scpe2-3.txt,1,SCP-CS_QO,OPTIMAL,6.57811164855957,6.609350204467773,27.9999999999995,28.0
beasley\scpe3-3.txt,1,SCP-CS_QO,OPTIMAL,4.296777725219727,5.640541076660156,24.0,24.0
beasley\scpe4-3.txt,1,SCP-CS_QO,OPTIMAL,6.656232833862305,7.046846389770508,25.0,25.0
beasley\scpe5-3.txt,1,SCP-CS_QO,OPTIMAL,5.046878814697266,5.156232833862305,28.0,28.0
beasley\scpnre1-3.txt,1,SCP-CS_QO,TIME_LIMIT,832.5799407958984,3600.335687637329,111.0,4369.0
beasley\scpnre2-3.txt,1,SCP-CS_QO,TIME_LIMIT,1680.2534580230713,3600.3341789245605,98.0,4316.0
beasley\scpnre3-3.txt,1,SCP-CS_QO,TIME_LIMIT,1896.2651615142822,3602.18914604187,112.0,4912.0
beasley\scpnre4-3.txt,1,SCP-CS_QO,TIME_LIMIT,1780.4035167694092,3600.382246017456,114.0,4692.0
beasley\scpnre5-3.txt,1,SCP-CS_QO,TIME_LIMIT,738.9253692626953,3600.327642440796,118.0,4696.0
beasley\scpnrf1-3.txt,1,SCP-CS_QO,TIME_LIMIT,673.6275539398193,3600.4034748077393,49.0,1621.0
beasley\scpnrf2-3.txt,1,SCP-CS_QO,TIME_LIMIT,343.2200012207031,3600.324821472168,75.0,1607.0
